stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
Regional	(2.8,4.2]	Axon guidance	175	105	8.15768474248845e-13	2.69203596502118e-10
Regional	(2.8,4.2]	MAPK signaling pathway	295	157	2.70581380506193e-12	4.46459277835219e-10
Regional	(2.8,4.2]	Pathways in cancer	526	244	5.06680626200151e-10	5.57348688820166e-8
Regional	(2.8,4.2]	Endocytosis	244	127	2.3029418789054e-9	1.89992705009695e-7
Distant	(2.8,4.2]	MAPK signaling pathway	295	86	4.00986281447843e-9	6.61627364388942e-7
Distant	(2.8,4.2]	Axon guidance	175	59	3.66741181932894e-9	6.61627364388942e-7
Regional	(2.8,4.2]	Neurotrophin signaling pathway	119	70	1.77694700209343e-8	1.17278502138166e-6
Regional	(2.8,4.2]	Human papillomavirus infection	339	163	2.31441797848785e-8	1.27292988816832e-6
All	(2.8,4.2]	Axon guidance	175	55	7.23675855468761e-9	2.38813032304691e-6
Regional	(2.8,4.2]	Ubiquitin mediated proteolysis	137	77	5.45527978348748e-8	2.57177475507267e-6
Regional	(2.8,4.2]	mTOR signaling pathway	151	83	6.46355927153652e-8	2.66621819950881e-6
All	(2.8,4.2]	MAPK signaling pathway	295	78	3.64676402648244e-8	6.01716064369603e-6
Regional	(2.8,4.2]	ErbB signaling pathway	85	52	2.1292016497992e-7	7.02636544433736e-6
Regional	(2.8,4.2]	Ras signaling pathway	232	116	2.02577341278316e-7	7.02636544433736e-6
Regional	(2.8,4.2]	Focal adhesion	199	102	2.39728532755361e-7	7.19185598266083e-6
Distant	(1.4,2.8]	MAPK signaling pathway	295	46	2.54477245807355e-8	8.39774911164272e-6
Regional	(2.8,4.2]	Autophagy - animal	128	71	3.60435338320014e-7	9.9119718038004e-6
Regional	(2.8,4.2]	Insulin resistance	107	61	6.75392719070785e-7	1.71445844071814e-5
Regional	(2.8,4.2]	Protein processing in endoplasmic reticulum	165	86	8.4668808937055e-7	1.82670661288172e-5
Regional	(2.8,4.2]	PI3K-Akt signaling pathway	354	163	8.12154811588574e-7	1.82670661288172e-5
Regional	(2.8,4.2]	TNF signaling pathway	110	62	9.41030679363314e-7	1.82670661288172e-5
Regional	(2.8,4.2]	Proteoglycans in cancer	201	101	9.27501885643277e-7	1.82670661288172e-5
Regional	(2.8,4.2]	Phosphatidylinositol signaling system	99	57	1.00518484085258e-6	1.84283887489639e-5
Regional	(2.8,4.2]	EGFR tyrosine kinase inhibitor resistance	79	47	2.52559826082623e-6	4.38656540038241e-5
Regional	(2.8,4.2]	Choline metabolism in cancer	99	56	2.69768395834894e-6	4.45117853127576e-5
Regional	(2.8,4.2]	Small cell lung cancer	93	53	3.66835481353897e-6	5.76455756413267e-5
Regional	(2.8,4.2]	Longevity regulating pathway	89	51	4.48504884703337e-6	6.72757327055006e-5
All	(2.8,4.2]	Ras signaling pathway	232	62	6.39822089419003e-7	7.03804298360903e-5
Regional	(2.8,4.2]	Human immunodeficiency virus 1 infection	212	103	5.2217101286706e-6	7.49201888026652e-5
Distant	(2.8,4.2]	Ras signaling pathway	232	66	7.24831344135239e-7	7.97314478548763e-5
Regional	(2.8,4.2]	Regulation of actin cytoskeleton	213	103	6.79439066138436e-6	8.96859567302736e-5
Regional	(2.8,4.2]	Transcriptional misregulation in cancer	186	92	6.57480329863741e-6	8.96859567302736e-5
Regional	(2.8,4.2]	Cellular senescence	160	81	7.66343224533613e-6	9.72666400369586e-5
Distant	(4.2,5.6]	ErbB signaling pathway	85	18	3.01270004976616e-7	9.94191016422833e-5
Regional	(2.8,4.2]	FoxO signaling pathway	132	69	8.91599065470288e-6	1.05430654008443e-4
Regional	(2.8,4.2]	Sphingolipid signaling pathway	118	63	8.9456312492013e-6	1.05430654008443e-4
Regional	(2.8,4.2]	Insulin signaling pathway	137	71	9.82236463078311e-6	1.08046010938614e-4
Regional	(2.8,4.2]	Hepatitis B	144	74	9.50243125396972e-6	1.08046010938614e-4
All	(2.8,4.2]	ErbB signaling pathway	85	30	1.339081386279e-6	1.10474214368018e-4
Regional	(2.8,4.2]	Human cytomegalovirus infection	225	107	1.16126639849657e-5	1.19755597344959e-4
Regional	(2.8,4.2]	Renal cell carcinoma	69	41	1.14622513055038e-5	1.19755597344959e-4
Regional	(2.8,4.2]	AMPK signaling pathway	120	63	1.81351338885644e-5	1.79260344957317e-4
Regional	(2.8,4.2]	C-type lectin receptor signaling pathway	104	56	2.00773858266465e-5	1.79260344957317e-4
Regional	(2.8,4.2]	GABAergic synapse	88	49	2.00988871618811e-5	1.79260344957317e-4
Regional	(2.8,4.2]	Prostate cancer	97	53	1.92924144185735e-5	1.79260344957317e-4
Regional	(2.8,4.2]	Fluid shear stress and atherosclerosis	139	71	1.87197992673245e-5	1.79260344957317e-4
Regional	(2.8,4.2]	Relaxin signaling pathway	130	67	2.19726364515976e-5	1.90815000763874e-4
Regional	(2.8,4.2]	HIF-1 signaling pathway	100	54	2.52549744725733e-5	1.98431942284504e-4
Regional	(2.8,4.2]	Osteoclast differentiation	128	66	2.47666502530387e-5	1.98431942284504e-4
Regional	(2.8,4.2]	Pancreatic cancer	75	43	2.44856894759023e-5	1.98431942284504e-4
Regional	(2.8,4.2]	Breast cancer	147	74	2.41230324716651e-5	1.98431942284504e-4
All	(2.8,4.2]	Parathyroid hormone synthesis, secretion and action	106	34	3.29567381394909e-6	2.1751447172064e-4
Regional	(2.8,4.2]	Cholinergic synapse	112	59	2.90789594078776e-5	2.23164107083711e-4
Distant	(1.4,2.8]	Autophagy - animal	128	24	2.43182605621772e-6	2.6750086618395e-4
Distant	(1.4,2.8]	Proteoglycans in cancer	201	32	2.33326601215554e-6	2.6750086618395e-4
Regional	(2.8,4.2]	AGE-RAGE signaling pathway in diabetic complications	99	53	4.10777546198203e-5	3.08083159648652e-4
Regional	(2.8,4.2]	Kaposi sarcoma-associated herpesvirus infection	186	89	4.67752225156955e-5	3.43018298448434e-4
Regional	(2.8,4.2]	Thyroid hormone signaling pathway	116	60	5.07816481848736e-5	3.64303128282789e-4
All	(2.8,4.2]	Neurotrophin signaling pathway	119	36	7.74881797083315e-6	4.26184988395823e-4
Distant	(1.4,2.8]	Focal adhesion	199	31	5.35621719296269e-6	4.41887918419422e-4
Regional	(2.8,4.2]	Endocrine resistance	98	52	6.62611584577822e-5	4.65237921086556e-4
Regional	(2.8,4.2]	Phospholipase D signaling pathway	146	72	7.3351862406473e-5	5.04294054044502e-4
Distant	(2.8,4.2]	Focal adhesion	199	56	7.23486433899945e-6	5.96876307967455e-4
Distant	(1.4,2.8]	Axon guidance	175	28	9.14218863202563e-6	6.03384449713692e-4
Regional	(2.8,4.2]	Parathyroid hormone synthesis, secretion and action	106	55	9.23697611707701e-5	6.22082065027635e-4
All	(2.8,4.2]	Pathways in cancer	526	111	1.53177519998364e-5	7.22122594278002e-4
Regional	(2.8,4.2]	Aldosterone-regulated sodium reabsorption	37	24	1.1181812336818e-4	7.3799961422999e-4
All	(2.8,4.2]	Renal cell carcinoma	69	24	2.01027534391315e-5	8.29238579364177e-4
Distant	(1.4,2.8]	mTOR signaling pathway	151	25	1.5098908258667e-5	8.30439954226689e-4
All	(2.8,4.2]	Wnt signaling pathway	149	41	2.4172516190162e-5	8.86325593639273e-4
Distant	(2.8,4.2]	Regulation of actin cytoskeleton	213	58	1.49084270102505e-5	9.83956182676535e-4
All	(2.8,4.2]	Proteoglycans in cancer	201	51	3.00141933709076e-5	9.90468381239951e-4
Regional	(5.6,7]	African trypanosomiasis	35	3	3.2577942649972e-6	0.00107507210744907
Distant	(1.4,2.8]	Neurotrophin signaling pathway	119	21	2.72290213157804e-5	0.00112319712927594
Distant	(1.4,2.8]	Insulin signaling pathway	137	23	2.62744987313175e-5	0.00112319712927594
Distant	(2.8,4.2]	Proteoglycans in cancer	201	55	2.12323642695985e-5	0.00116778003482791
All	(2.8,4.2]	Ubiquitin mediated proteolysis	137	38	3.92633218209293e-5	0.00117789965462787
Distant	(2.8,4.2]	ErbB signaling pathway	85	29	2.73073775183054e-5	0.00128734779729154
Regional	(2.8,4.2]	Longevity regulating pathway - multiple species	62	35	2.09688927219672e-4	0.00130561030155645
Regional	(2.8,4.2]	Progesterone-mediated oocyte maturation	99	51	2.0745755327876e-4	0.00130561030155645
Regional	(2.8,4.2]	Glioma	71	39	2.04355741688708e-4	0.00130561030155645
All	(2.8,4.2]	Glutamatergic synapse	114	33	4.96779417997322e-5	0.00136614339949263
Distant	(4.2,5.6]	Insulin signaling pathway	137	21	8.30637429051539e-6	0.00137055175793504
All	(4.2,5.6]	FoxO signaling pathway	132	28	1.29834798172945e-5	0.0014281827799024
All	(4.2,5.6]	TGF-beta signaling pathway	84	21	1.14784997764488e-5	0.0014281827799024
All	(4.2,5.6]	Axon guidance	175	34	1.19507035910624e-5	0.0014281827799024
Regional	(2.8,4.2]	Chronic myeloid leukemia	76	41	2.39296967749686e-4	0.0014623703584703
Regional	(5.6,7]	Malaria	49	3	9.11898999183006e-6	0.00150463334865196
Regional	(2.8,4.2]	Inositol phosphate metabolism	74	40	2.68680554749153e-4	0.00161208332849492
Regional	(2.8,4.2]	Human T-cell leukemia virus 1 infection	219	99	2.76317674679009e-4	0.00162830058292987
Regional	(2.8,4.2]	Apelin signaling pathway	137	66	3.39418435616478e-4	0.00193117385781789
Regional	(2.8,4.2]	Morphine addiction	91	47	3.36075147151353e-4	0.00193117385781789
All	(2.8,4.2]	Regulation of actin cytoskeleton	213	52	7.61577054077944e-5	0.0019332340603517
Regional	(2.8,4.2]	T cell receptor signaling pathway	101	51	3.89576409208871e-4	0.00217898669557504
Regional	(2.8,4.2]	Non-small cell lung cancer	66	36	4.26008194670473e-4	0.0023430450706876
Regional	(2.8,4.2]	Rap1 signaling pathway	206	93	4.42060423992517e-4	0.00239147442487755
All	(2.8,4.2]	Autophagy - animal	128	35	1.07554273152726e-4	0.00253520786717141
All	(2.8,4.2]	Rap1 signaling pathway	206	50	1.21704925089008e-4	0.00267750835195819
Localized	(1.4,2.8]	Axon guidance	175	19	8.58421266240132e-6	0.00283279017859243
All	(4.2,5.6]	Signaling pathways regulating pluripotency of stem cells	139	28	3.54445446622587e-5	0.00292417493463634
